Timestamp,Aimag,Title (100),Title Korean (100),Description (255),Description Korean (255),About ,About Korean ,Cover (Link),Thumbnail (Link),Hotel Rating
2/6/2023 4:13:15,Ulaanbaatar,Business Tower Hotel,Business Tower Hotel,"Business Tower Hotel has opened its doors. A clean, comfortable environment and friendly staff are waiting for you.",깨끗하고 쾌적한 환경의 호텔이다. ,"The advantage of our hotel is that it is located in the center of the city, and has a coffee shop, restaurant and SQ VIP lounge for the convenience of customers.","저희 호텔의 장점은 도심에 위치하고 있으며 고객의 편의를 위해 커피숍, 레스토랑, SQ VIP 라운지가 있다는 것입니다.",https://ihotel.mn/img/uploads/hotels/cef8d44915b48ba5babff642f8d2b892.jpg,https://ihotel.mn/img/uploads/rooms/e5e1598090957fe621d24cbb22efdaa4.jpg,0
2/6/2023 4:14:43,Ulaanbaatar,Holiday Inn Ulaanbaatar Hotel,Holiday Inn Ulaanbaatar Hotel,Holiday Inn Ulaanbaatar Hotel is the largest hotel chain in the world and offers you products and services that meet international quality standards.,Holiday Inn Ulaanbaatar Hotel은 세계 최대의 호텔 체인점으로 국제 품질 기준에 부합하는 제품과 서비스를 제공합니다.,"The hotel has a total of 169 rooms, including 13 full suites and 12 superior rooms. Also, the convenience of the customers has been fully resolved. These include: a fully equipped fitness center, dry and steam saunas, a spa beauty center, and modern Asian, European, and Mongolian restaurants with a wide selection of menus in a comfortable environment. It is located in the center of Ulaanbaatar, so it is possible to walk to the attractions. Located 15 minutes from Sukhbaatar Square and 30 minutes from Chinggis Khan International Airport, it is ideally located to reach any part of the city.","호텔에는 13개의 풀 스위트룸과 12개의 슈페리어룸을 포함하여 총 169개의 객실이 있습니다. 또한 고객의 편의도 완벽하게 해결하였습니다. 여기에는 완비된 피트니스 센터, 건식 및 스팀 사우나, 스파 뷰티 센터, 편안한 환경에서 다양한 메뉴를 제공하는 현대적인 아시아, 유럽 및 몽골 레스토랑이 포함됩니다. 울란바토르 중심에 위치하여 관광지까지 도보로 이동이 가능합니다. Sukhbaatar Square에서 15분, Chinggis Khan 국제공항에서 30분 거리에 위치한 이 호텔은 도시 어느 곳으로든 갈 수 있는 이상적인 위치에 있습니다.",https://ihotel.mn/img/uploads/hotels/0c22aa43ea9daac9dfe9e8cce3947212.jpg,https://ihotel.mn/img/uploads/hotels/4e5679499deb311e7ec65c9e9ad4f38d.jpg,0
2/6/2023 4:16:34,Khentii,Ezent Guren hotel,Ezent Guren hotel,"Esent Guren Hotel has 21 Deluxe, Semi-Deluxe and Standard rooms.","Esent Guren Hotel 3성급 호텔에는  21개의 디럭스, 세미 디럭스 및 스탠다드 객실을 제공합니다 .","There are 37 royal portraits of the Great Emperor Genghis Khan's Golden Son, and a photo exhibit showing the history of Genghis's conquests.",대황제 징기스칸의 금손의 초상화 37점과 징기스칸 정복의 역사를 보여주는 사진전이 있습니다.,https://ihotel.mn/img/uploads/hotels/36efca26c45b9dbc6bf61e59e7edc371.jpg,https://ihotel.mn/img/uploads/hotels/3d38ad4e03fbc14e08601a424ac01034.jpg,3
2/6/2023 4:18:35,Ulaanbaatar,UB City Hotel,UB City Hotel,UB City Hotel was opened in April 2012 and has been operating continuously since then.,4성급 유비시티호텔은 2012년 4월 개관하여 현재까지 지속적으로 운영되고 있습니다.,"It is a business class hotel with 100% European standards of equipment and furniture, meeting the requirements of 4-star class and based on the quality of service. The Hotel is located in a business class area with less congestion in Ulaanbaatar, and its biggest advantage is the clean environment, fresh air, and tranquility. It is located 10 minutes from Genghis Khan International Airport and 5 minutes from Central Railway Station. Also, all kinds of receptions are organized at a professional level by serving a conference hall with a capacity of up to 120 people and a high-class restaurant of Mongolian and European cuisine with a capacity of up to 240 people.","100% 유럽 표준 장비 및 가구를 갖춘 비즈니스 클래스 호텔로 4성급 요구 사항을 충족하고 서비스 품질을 기반으로 합니다. 호텔은 Ulaanbaatar에서 혼잡이 적은 비즈니스 클래스 지역에 위치하고 있으며 가장 큰 장점은 깨끗한 환경, 신선한 공기 및 평온함입니다. 징기스칸 국제공항에서 10분, 중앙 기차역에서 5분 거리에 있습니다. 또한 최대 120명을 수용할 수 있는 컨퍼런스 홀과 최대 240명을 수용할 수 있는 몽골 및 유럽 요리의 고급 레스토랑을 제공하여 모든 종류의 리셉션을 전문적인 수준으로 구성합니다.",https://ihotel.mn/img/uploads/hotels/bb302659a496c6949fcb02d321631642.jpg,https://ihotel.mn/img/uploads/hotels/7135ead1f20642bf3dc9abeedcb1ed7b.jpg,4
2/6/2023 4:19:51,Ulaanbaatar,Kentavr Hotel,Kentavr Hotel,"Since 2001, our organization has established a hotel under the name ""Centaur"" and started operating in the field of tourism and services. In 2019, an expansion was made, with a total of 50 rooms of 3-star standard, including 18 rooms with 2 beds and 32 rooms with 1 bed.",2001년에 오픈한 3성급 호텔은  50실을 제공하고 있습니다. ,"Outdoor Parking for Cars and Large Buses, Reception Area, ""Mongolian"" 1st Class Restaurant, Coffee Shop, Karaoke, Lounge and Free Wifi, 110 Channels All Cable TV Channels Served. The advantages of our location are: It is located 4 km south of Chinggis Square, which is the central point of Ulaanbaatar city, located next to Gandan, the center of ancient history, and Mongolian National Television. We are working in this sector with the motto ""Spreading Mongolian Traditions to the World"".","자동차 및 대형 버스를 위한 야외 주차장, 리셉션 구역, ""몽골"" 1급 레스토랑, 커피숍, 가라오케, 라운지 및 무료 Wi-Fi, 110개 채널 모든 케이블 TV 채널 제공. 우리 위치의 장점은 울란바토르 시의 중심인 징기스칸 광장에서 남쪽으로 4km, 고대 역사의 중심지인 간단과 몽골 국영 텔레비전 옆에 위치해 있다는 것입니다. 우리는 ""몽골 전통을 세계에 전파""라는 모토로 이 분야에서 일하고 있습니다.",https://ihotel.mn/img/uploads/hotels/b6e94b4b5beeafc9748c1fa99df1ddde.jpg,https://ihotel.mn/img/uploads/rooms/609601a9cc1676580847783e74f02666.jpg,3
2/6/2023 4:22:05,Ulaanbaatar,Castella Hotel,Castella Hotel,"""Castella"" hotel welcomes you.","저희 3 성급 호텔은  유럽식, 아시아식 및 몽골식 요리 - 호텔에서 아침 식사를 드실 수 있습니다(무료) - 자체 30대 차를 주차할 수 있는  주차장이 있으며. 일회용 기기. 전 객실 WIFI 초고속 인터넷 - 전 객실 UNIVISION 완비 - 디럭스 및 세미 디럭스룸 넓은 객실에는 에어컨, 소파, 베개가 있어 진정한 편안함을 느끼실 수 있습니다.","The advantages of our hotel: - A variety of European, Asian and Mongolian food - You can have breakfast at the hotel (free of charge) - It has its own parking lot and guard for up to 30 cars along the main road. - Quiet and silent - Comfortable and warm - 3-star standard furniture and decoration - 3-star disposable appliances. High-speed Internet equipped with WIFI in every room - Every room is equipped with UNIVISION - Deluxe and semi-deluxe rooms With spacious rooms with air conditioning, sofas and pillows, you will feel real comfort here.","저희 호텔의 장점: - 다양한 유럽, 아시아 및 몽골 음식 - 호텔에서 아침 식사를 드실 수 있습니다(무료) - 주요 도로를 따라 최대 30대의 차량을 수용할 수 있는 자체 주차장과 경비원이 있습니다. - 조용하고 조용함 - 편안하고 따뜻함 - 3성급 표준 가구 및 장식 - 3성급 일회용 기기. 전 객실 WIFI 초고속 인터넷 - 전 객실 UNIVISION 완비 - 디럭스 및 세미 디럭스룸 넓은 객실에는 에어컨, 소파, 베개가 있어 진정한 편안함을 느끼실 수 있습니다.",https://ihotel.mn/img/uploads/hotels/128e2847d733fbfb5b62314b7b044f97.jpg,https://ihotel.mn/img/uploads/hotels/77c0697c0dc682e6fcf46f319611d693.jpg,3
2/6/2023 4:35:43,Ulaanbaatar,TTI Hotel,TTI Hotel,"TTI Hotel started its operation on November 1, 2022.","2022년에 오픈한 저희 호텔은 초고속 인터넷 와이파이, 모닥불 옆에 앉을 수 있는 쾌적한 환경.  TTI 레스토랑의 전문 셰프가 만드는 맛있는 식사. 가장 #안전하고 #깨끗하며 #신선한 환경을 제공합니다.","High-speed internet wifi: ♨️Pleasant environment to sit by the open fire. 🍽 Delicious meal prepared by a professional chef of TTI restaurant. We are happy to provide the most #safe, #clean and #fresh environment. Pros: #COMFORTABLE #NEW #CLEAN #SAFE",초고속 인터넷 와이파이: ♨️모닥불 옆에 앉을 수 있는 쾌적한 환경. 🍽 TTI 레스토랑의 전문 셰프가 만드는 맛있는 식사. 가장 #안전하고 #깨끗하며 #신선한 환경을 제공하게 되어 기쁩니다. 장점: #편안함 #새로움 #깨끗함 #안전함,https://ihotel.mn/img/uploads/hotels/467761dbd6790e4821e27ee8e85e804b.PNG,https://ihotel.mn/img/uploads/hotels/dc3c8131401d676ac848b5ad526b3893.jpg,0
2/6/2023 4:50:07,Khövsgöl,Edelweiss Hotel Khuvsgul,Edelweiss Hotel Khuvsgul,"If you come to Murun city of Khuvsgul province for business or leisure, we invite you to rest in our comfortable hotel.",저희 3성급 호텧은 홉스굴 강변에 위치하여 창밖으로 자연의 아름다움을 감상하실 수 있습니다.,"Located along the river, you can see the beauty of nature from the windows.",강변에 위치하여 창밖으로 자연의 아름다움을 감상하실 수 있습니다.,https://ihotel.mn/img/uploads/hotels/0d50cb84c3ed9455ddf8ebe3109173c1.jpg,https://ihotel.mn/img/uploads/rooms/2e27a71b6437dabef0f17069fd8d8392.jpeg,3
2/6/2023 4:55:16,Orkhon,Deedes Hotel,Deedes Hotel,"Deedes Hotel is a high-class hotel located in Erdenet, Orkhon province, which can accommodate more than 50 guests at a time.",저희 3성급 Deedes Hotel은 Orkhon 지방의 Erdenet에 위치한 고급 호텔로 한 번에 50명 이상의 손님을 수용할 수 있습니다.,"For the comfort of guests, there is hot and cold water in each room, cable TV with 30 channels, wireless Internet, 24-hour security and open parking. We offer a comfortable environment and friendly service.","투숙객의 편의를 위해 각 객실에는 냉온수, 30개 채널이 제공되는 케이블 TV, 무선 인터넷, 24시간 보안 및 개방형 주차장이 있습니다. 쾌적한 환경과 친절한 서비스를 제공합니다.",https://ihotel.mn/img/uploads/hotels/ce172ce1531f8098bb80986422cbea36.jpg,https://ihotel.mn/img/uploads/hotels/92d555082d5a57c135511cf3f9431aa8.jpg,3
2/6/2023 4:56:27,Ulaanbaatar,Edelweiss Art Hotel,Edelweiss Art Hotel,Edelweiss Art Hotel,저희 3성급 호텔은  총 23개의 객실로 고객의 편안함에 맞춘 디자인 솔루션을 제공합니다. 각 객실에는 초고속 무선 인터넷과 개별 조절이 가능한 에어컨이 있습니다.,"With a total of 23 rooms, it has a design solution tailored to your comfort. Each room has high speed wireless internet and individually controlled air conditioning.",총 23개의 객실로 고객의 편안함에 맞춘 디자인 솔루션을 제공합니다. 각 객실에는 초고속 무선 인터넷과 개별 조절 에어컨이 있습니다.,https://ihotel.mn/img/uploads/hotels/2f3ceec93b9930042b258c4635d1288e.jpg,https://ihotel.mn/img/uploads/hotels/a83fe15f7d83b09c5f55f2b76b4b049a.jpg,3
2/6/2023 4:57:54,Ulaanbaatar,Royal Mountain Hotel,Royal Mountain Hotel,"Royal Mountain Hotel is a 4-star hotel established in 2016 with 49 luxury rooms that meet international standards. Our service facility creates a comfortable environment for customers to feel at home, and our staff strives to provide the most friendly service.","로얄 마운틴 호텔은 2016년에 설립된 4성급 호텔로 국제 기준에 부합하는 49개의 럭셔리한 객실을 보유하고 있습니다. 저희 서비스 시설은 고객이 집과 같은 편안함을 느낄 수 있는 환경을 조성하며, 저희 직원들은 가장 친절한 서비스를 제공하기 위해 노력합니다.","Royal Mountain Hotel is located in the A area of the city center and has the advantage of being close to shopping centers and business centers. Besides, it has the advantage of being close to Ulaanbaatar's cultural monuments such as Bogd Khan's Palace Museum, Gobi Cashmere Factory, Sukhbaatar Square, and Gandan Tegchilen Monastery. In addition, our hotel is located 12 km from Genghis Khan International Airport and 2 km from the Central Railway Station. Additional services offered by the hotel: - Asian and European cuisine restaurants - Fitness - Spa, Massage - Video golf - Coffee shop - Karaoke - Meetings and Seminars are fully available.","로얄마운틴호텔은 도심의 A지역에 위치하여 쇼핑센터 및 비즈니스센터와 가까운 장점이 있습니다. 뿐만 아니라 복드칸 궁전 박물관, 고비 캐시미어 공장, 수흐바타르 광장, 간단 테그칠렌 수도원 등 울란바토르의 문화유산과도 가깝다는 장점이 있다. 또한 저희 호텔은 징기스칸 국제공항에서 12km, 중앙 기차역에서 2km 떨어져 있습니다. 호텔에서 제공하는 추가 서비스: - 아시아 및 유럽 요리 레스토랑 - 피트니스 - 스파, 마사지 - 비디오 골프 - 커피숍 - 가라오케 - 회의 및 세미나 완전 이용 가능.",https://ihotel.mn/img/uploads/hotels/e42d167796ff8f1de151d744d1566432.jpg,https://ihotel.mn/img/uploads/rooms/78bdba1a282209e30074af763ea7b096.JPG,4
2/6/2023 4:59:17,Ulaanbaatar,The Corporate Hotel and Convention Center,The Corporate Hotel and Convention Center,"Corporate Convention Center Hotel has all kinds of services to make your travel and vacation perfect. These include a fully equipped fitness center, swimming pool, dry and steam saunas, therapeutic sand rooms, spa, beauty salon and luxury restaurants.","Corporate Convention Center Hotel은 완벽한 여행과 휴가를 위한 모든 종류의 서비스를 제공합니다. 여기에는 완비된 피트니스 센터, 수영장, 건식 및 스팀 사우나, 치료용 모래방, 스파, 미용실 및 고급 레스토랑 전체 이용이 포함됩니다.","High-speed wireless Internet access is available throughout the hotel. Location: 20 minutes' walk from Children's and Youth Park, 40 minutes' drive from Chinggis Khan International Airport.","호텔 전역에서 고속 무선 인터넷 접속이 가능합니다. 위치: 어린이 청소년 공원에서 도보로 20분, 칭기즈칸 국제공항에서 차로 40분 거리.",https://ihotel.mn/img/uploads/hotels/5a9154e746438dcca960788941b06d07.jpg,https://ihotel.mn/img/uploads/hotels/26aeffadfe7fe3b069608694c72390a7.jpg,4
2/6/2023 5:04:43,Selenge,Flower Hotel Selenge,Flower Hotel Selenge,,,,,https://ihotel.mn/img/uploads/hotels/08554191580d11f86dc62cc26b0bad48.jpg,https://ihotel.mn/img/uploads/hotels/01622fa11ab04162634861a94ee9bc25.png,0
2/6/2023 5:09:02,Ulaanbaatar,H9 Hotel Nine,H9 Hotel Nine,We provide comfort and satisfaction.,"호텔9은 도심의 A급 지역에 위치하고 있으며 정부 청사와 수흐바타르 광장에서 불과 300m 거리에 있어 국내외 관광객들이 추가 비용 없이 도심의 명소를 방문할 수 있다. 106명을 수용할 수 있는 51개의 객실, 초고속 전화 및 무선 인터넷 연결, 케이블 TV, 국제 전화 게이트웨이, 통합 에어컨, 냉난방 시스템, 객실 가격에는 아침 식사 및 모든 종류의 서비스가 포함되어 있습니다.","""Hotel9"" is located in the A-class area of the city center and is only 300 meters away from the Government Palace and Sukhbaatar Square. There are 51 rooms with a capacity of 106 people, high-speed telephone and wireless Internet connection, cable TV, international telephone call gateway, integrated air conditioning, cooling and heating systems, and the room price includes breakfast and all kinds of services.","Hotel9은 도심의 A급 지역에 위치하고 있으며 정부 청사와 수흐바타르 광장에서 불과 300m 거리에 있습니다. 106명을 수용할 수 있는 51개의 객실, 초고속 전화 및 무선 인터넷 연결, 케이블 TV, 국제 전화 게이트웨이, 통합 에어컨, 냉난방 시스템, 객실 가격에는 아침 식사 및 모든 종류의 서비스가 포함되어 있습니다.",https://ihotel.mn/img/uploads/hotels/b268d386c318bd5ece19268be7441d5d.jpg,https://ihotel.mn/img/uploads/hotels/1faf378eba9d152f64f11f384ea76d9b.jpg,3
